M model,Adv Model,Dataset,Baseline,MM Results,Average MM,Net Gain,Avm Net Gain,Switched Correct,Switched Incorrect,T,Avg. iterations,Max iterations,Contradictions Corrected,,Notes,Model Parameters,Qwen3,Model,GPT,Model,Llama 3
,2052,2025,82.6,82.36,82.7,-0.24,0.1,2.53,2.78,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Llama 3.2 1B,Llama 3.2 1B,TruthfulQA (790),379,382,380,3,1,171,168,,4.08,241,256,1961,,,,,,,
AVG ITER,790,790,47.97,48.35,48.1,0.38,0.13,21.65,21.27,,,,,,,,,,,,
4.41,,,391,405,390,14,-1,184,170,,3.99,261,220,1890,,,,,,,
AVG ACC,790,,49.49,51.27,49.37,1.77,-0.13,23.29,21.52,,,,,,,,,,,,
-0.19,2360,Scruples (2360),1178,1211,1206,33,28,590,557,,4.83,595,599,5902,,,,,,,
,2360,,49.92,51.31,51.1,1.4,1.19,25,23.6,,,,,,,,,,,,
,,,1163,1199,1225,36,62,592,607,,4.88,592,607,5903,,,,,,,
MINROW,2360,,49.28,50.81,51.91,1.53,2.63,25.08,25.72,,,,,,,,,,,,
101,2541,CommonsenseQA 2.0 (2541),1294,1286,1275,-8,-19,328,336,,4.1,44,39,585,,,,,,,
,2541,,50.92,50.61,50.18,-0.31,-0.75,12.91,13.22,,,,,,,,,,,,
,,,1329,1301,1305,-28,-24,297,325,,4.15,45,42,591,,,,,,,
MAXROW,2541,,52.3,51.2,51.36,-1.1,-0.94,11.69,12.79,,,,,,,,,,,,
120,3964,ETHICS Commonsense (3964),2007,1912,1911,-95,-96,784,879,,4.49,753,798,7694,,,,,,,
,3964,,50.63,48.23,48.21,-2.4,-2.42,19.78,22.17,,,,,,,,,,,,
,,,2028,1981,1961,-47,-67,803,850,,4.53,834,785,7898,,,,,,,
,3964,,51.16,49.97,49.47,-1.19,-1.69,20.26,21.44,,,,,,,,,,,,
,2052,ETHICS Justice (2052),1039,1035,1049,-4,10,515,519,,4.51,527,543,5110,,,,,,,
,2052,,50.63,50.44,51.12,-0.19,0.49,25.1,25.29,,,,,,,,,,,,
,,,1047,1011,1056,-36,9,496,532,,4.55,518,569,5178,,,,,,,
,2052,,51.02,49.27,51.46,-1.75,0.44,24.17,25.93,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Llama 3.2 3B,Llama 3.2 3B,TruthfulQA (790),407,442,421,35,14,164,29,,5.02,75,72,1129,,,,,,,
AVG ITER,790,,51.52,55.95,53.29,4.43,1.77,20.76,3.67,,,,,,,,,,,,
4.29,,,411,417,422,6,11,156,150,,5.06,76,75,1105,,,,,,,
AVG ACC,790,,52.03,52.78,53.42,0.76,1.39,19.75,18.99,,,,,,,,,,,,
2.14,,Scruples (2360),1183,1139,1149,-44,-34,280,324,,4.14,51,52,1325,,,,,,,
